Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C114, C116, C12, C135, C14, C3, C98, C99",0805,9,10u 25V,C440198
"C10, C100, C101, C102, C103, C104, C105, C106, C107, C108, C11, C113, C115, C117, C122, C124, C125, C126, C128, C129, C13, C130, C132, C134, C137, C138, C139, C140, C141, C142, C15, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C51, C52, C53, C54, C55, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C9, C91, C92, C93, C94, C95, C96, C97",0402,108,100n,C1525
"C109, C110, C118, C119, C16, C17, C5, C6",1206,8,47u 10V,C96123
"C111, C112, C120, C121, C18, C19, C7, C8",0603,8,100n,C14663
C123,CP_EIA-3528-21_Kemet-B,1,100u,C16133
"C127, C131, C143, C32, C90",0402,5,10u,C15525
"C133, C136",0805,2,100n 100v,C28233
"C144, C145",0603,2,20p, C1648
"C50, C56",0603,2,12p,C38523
"D1, D2, D3, D4, D5, D6",0603,6,LED_GREEN,  C965805
"D10, D9",0603,2,BESDU0603-05,C512307
D11,D_SOD-323,1,1N5819,C2828425
D12,0603,1,LED_WHITE,C2290
D13,0603,1,LED_RED,C2286
D14,0603,1,LED_YELLOW,C72038
D15,0603,1,LED_BLUE,C19171394
D7,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,1,WS8212B-MINI,C527089
D8,D_SOT-23_ANK,1,MMBZ5242BLT3G,C112551
"FB1, FB2, FB3",0603,3,FerriteBead_Small,C1002
"J1, J2, J3, J4, J5, J6",JST_GH_SM10B-GHS-TB_1x10-1MP_P1.25mm_Horizontal,6,Conn_01x10,C2683602
"J11, J13",FanPinHeader_1x04_P2.54mm_Vertical,2,Molex Fan Header,C240840
J12,PinHeader_1x02_P2.54mm_Vertical,1,EEWE,C7501580
J19,CUI_PJ-063AH,1,Barrel_Jack_HC,NA
J20,Hirose_FH12-22S-0.5SV55_P0.5mm_Vertical,1,Conn_01x22_Female,NA
J21,EDAC 690-019-298-412,1,HDMI_A_1.4,C720616
J22,MOLEX_USB_67298-4090,1,UJ2-ADH-1-TH,C12049
J23,Molex-216989-0001-MFG,1,216989-0001,NA
J24,JAE_SM3ZS067U310AMR1200,1,SM3ZS067U310AMR1200,C4527433
J25,SDCARD_MOLEX_503398-1892,1,Micro_SD_Card_Det,C428492
"L1, L2, L3, L6, L7, L8, L9",L_Changjiang_FNR4012S,7,4020-3R3,C602030
L4,L_Wuerth_MAPI-3012,1,3012-1R5,C5127315
Q1,Diodes_PowerDI3333-8,1,DMP3013SFV-7,C264098
"R1, R110, R111, R19, R2, R20, R21, R3, R4, R5, R52, R59, R6, R74, R76, R94",0603,16,1K2,C22765
"R10, R11, R12, R13, R14, R24, R25, R66, R67, R7, R78, R79, R8, R9",0603,14,10K,C25804
"R100, R102, R106",0603,3,5K1,C23186
"R101, R90",0603,2,2K2,C4190
"R103, R108, R112, R77, R88, R89, R95, R99",0603,8,39K,C23153
"R104, R91, R97",0603,3,510K,C23192
"R105, R36, R38, R39, R44, R51, R55, R56, R60, R61, R98",0603,11,4K7,C23162
"R107, R113, R86",0603,3,12K,C22790
"R109, R114, R84, R85",0603,4,470R,C23179
"R15, R16, R27, R68, R80, R81",0603,6,56K2,C227508
"R17, R18, R28, R29, R70, R71, R82, R83, R87, R96",0603,10,22K,C31850
"R23, R43, R46, R47, R48, R49, R50, R92, R93",0603,9,0R,C21189
R26,0603,1,4K5,C364182
"R30, R72, R73",0805,3,0R HC,C1882631
R45,0603,1,2K49,C227773
R69,0603,1,34K,C667699
R75,0603,1,5R,C25197
SW1,pushButton-PTS647SM38SMTR2LFS,1,pushButton-PTS647SM38SMTR2LFS,C2689502
"U1, U2, U27, U3, U31, U4, U5, U6",USON-10_2.5x1.0mm_P0.5mm,8,TPD4EUSB30,C558427
U10,SOT-563,1,TMP102xxDRL,C99269
"U11, U14, U15, U16, U21, U28, U9",SOT-353_SC-70-5,7,74LVC1G07SE-7,C7830
"U12, U19, U22, U23, U7, U8",TSOT-23-6w,6,TPS564201,C464812
"U13, U20",TSOT-23-6w,2,AP62300TWU,C1883519
U17,LQFP-128_14x20mm_P0.5mm_1,1,RTL8370N,C2803243
U18,SOT-23-5,1,24C04-I2C-EEPROM (512X8),C232867
"U24, U25",SOT-23-6,2,AP22653W6-7,C2158037
U26,MSOP-10_3x3mm_P0.5mm,1,FSUSB42MUX,C11355
U29,MSOP-8_3x3mm_P0.65mm,1,EMC2301,C148036
U30,QFN-36-1EP_6x6mm_P0.5mm_EP3.7x3.7mm,1,USB2514B-AEZC,C16251
U32,SW-TH_TK-6580B-1,1,TK-6580B-1,C2689829
"U33, U34",ARJM11B1-502-AB,2,Abracon_ARJM11B1-502-AB,C240190
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25MHZ,C9006
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,24MHZ,C70571
"ZZ0, ZZ1, ZZ10, ZZ11, ZZ2, ZZ3, ZZ4, ZZ5, ZZ6, ZZ7, ZZ8, ZZ9",HRS_DF40HC(3.0)-100DS-0.4V,12,HRS_DF40HC_3.0_-100DS-0.4V_58,
