Designator,Mid X,Mid Y,Rotation,Layer
C1,49.23,-13.9,180.0,top
C10,50.225,-38.935,0.0,top
C100,103.245,-84.4575,0.0,top
C101,70.163,-85.81,270.0,top
C102,71.132,-85.81,270.0,top
C103,72.101,-85.81,270.0,top
C104,73.07,-85.81,270.0,top
C105,74.039,-85.81,270.0,top
C106,75.977,-85.81,270.0,top
C107,75.008,-85.81,270.0,top
C108,76.946,-85.81,270.0,top
C109,53.73,-88.8175,90.0,top
C11,100.13,-38.4,270.0,top
C110,103.575,-88.75,90.0,top
C111,48.195,-94.1,90.0,top
C112,98.035,-94.0825,90.0,top
C113,46.98,-105.332526,0.0,top
C114,49.18,-111.35,180.0,top
C115,53.43,-111.1,0.0,top
C116,99.18,-111.975,180.0,top
C117,103.43,-111.725,0.0,top
C118,53.68,-115.5675,90.0,top
C119,103.68,-116.1925,90.0,top
C12,49.18,-41.675,180.0,top
C120,48.145,-120.85,90.0,top
C121,98.145,-121.475,90.0,top
C122,95.455,-127.85,90.0,top
C123,103.255,-129.5,270.0,top
C124,46.505,-130.75,0.0,top
C125,53.455,-130.82,0.0,top
C126,75.669903,-132.216405,180.0,top
C127,78.479903,-132.216405,180.0,top
C128,81.289903,-132.216405,180.0,top
C129,67.554437,-132.367005,0.0,top
C13,53.43,-41.425,0.0,top
C130,119.053911,-133.331494,90.0,top
C131,89.809333,-133.501485,270.0,top
C132,103.766678,-133.645786,0.0,top
C133,21.98,-135.09,270.0,top
C134,72.38,-134.908,180.0,top
C135,5.98,-135.49,270.0,top
C136,8.82,-135.49,270.0,top
C137,112.68,-137.035,270.0,top
C138,84.9,-137.49,0.0,top
C139,67.57,-139.125,180.0,top
C14,99.1775,-41.68,180.0,top
C140,72.38,-139.942,180.0,top
C141,84.89,-139.57,0.0,top
C142,143.32,-142.44,180.0,top
C143,74.883276,-144.360926,270.0,top
C144,77.34,-144.365911,270.0,top
C145,84.474069,-145.115911,0.0,top
C15,103.365,-41.43,0.0,top
C16,53.68,-45.8925,90.0,top
C17,103.695,-45.5675,90.0,top
C18,48.145,-51.175,90.0,top
