Designator,Footprint,Quantity,Value,LCSC Part #
"C1_2, C1",0603,2,10u,C19702
"C2_2, C2, C7_2, C7",0603,4,100n,C14663
"C3_2, C3, C4_2, C4",0603,4,1u,C15849
"C5_2, C5, C6_2, C6",0603,4,2.2u,C23630
"D1_2, D1",0603,2,LED_RED,C2286
"D2_2, D2",0603,2,LED_GREEN,C72038
"F1_2, F1",0603,2,Fuse_0.5A,C2960491
"J1_2, J1",JST_GH_SM10B-GHS-TB_1x10-1MP_P1.25mm_Horizontal,2,Conn_01x10,C2683602
"J3_2, J3",JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,2,STEMMA-QT,C160404
"J5_2, J5",JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,2,STEMMA,C265102
"J9_2, J9",GCT_USB4105-GF-A,2,USB4105-GF-A,C5184243
"R1_2, R1",0603,2,0R,C21189
"R2_2, R2, R3_2, R3",0603,4,10K,C25804
"R4_2, R4, R6_2, R6",0603,4,1K2,C22765
"R5_2, R5",0603,2,33k,C4216
"R7_2, R7, R8_2, R8",0603,4,5K1,C23186
"SW1_2, SW1",pushButton-PTS647SM38SMTR2LFS,2,pushButton-PTS647SM38SMTR2LFS,C2689502
"U1_2, U1, U2_2, U2",SOT-23,4,APE8865N-33-HF-3,C296288
"U3_2, U3",SOIC-16_3.9x9.9mm_P1.27mm,2,CH340C,C7464026
