Designator,Mid X,Mid Y,Rotation,Layer
C1_2,54.28,-12.784,0.0,top
C1,14.28,-12.784,0.0,top
C2_2,54.28,-14.588,0.0,top
C2,14.28,-14.588,0.0,top
C3_2,12.66,-16.94,180.0,top
C3,52.66,-16.94,180.0,top
C4_2,16.56,-16.94,0.0,top
C4,56.56,-16.94,0.0,top
C5_2,52.66,-22.250156,180.0,top
C5,12.66,-22.250156,180.0,top
C6_2,56.56,-22.250156,0.0,top
C6,16.56,-22.250156,0.0,top
C7_2,26.4675,-29.28,0.0,top
C7,66.4675,-29.28,0.0,top
D1_2,22.74,-29.24,0.0,top
D1,62.74,-29.24,0.0,top
D2_2,30.195,-29.24,180.0,top
D2,70.195,-29.24,180.0,top
F1_2,54.28,-10.78,0.0,top
F1,14.28,-10.78,0.0,top
J1_2,58.03,-3.205,0.0,top
J1,18.03,-3.205,0.0,top
J3_2,3.3,-12.2,270.0,top
J3,43.3,-12.2,270.0,top
J5_2,45.13,-23.2,90.0,top
J5,5.13,-23.2,90.0,top
J9_2,25.161351,-48.6,0.0,top
J9,65.161351,-48.6,0.0,top
R1_2,49.1,-10.98,0.0,top
R1,9.1,-10.98,0.0,top
R2_2,9.1,-12.784,0.0,top
R2,49.1,-12.784,0.0,top
R3_2,49.1,-14.588,180.0,top
R3,9.1,-14.588,180.0,top
R4_2,62.74,-27.14,180.0,top
R4,22.74,-27.14,180.0,top
R5_2,26.4675,-27.14,0.0,top
R5,66.4675,-27.14,0.0,top
R6_2,70.195,-27.1,0.0,top
R6,30.195,-27.1,0.0,top
R7_2,58.9436,-44.5,90.0,top
R7,18.9436,-44.5,90.0,top
R8_2,18.9436,-48.028,270.0,top
R8,58.9436,-48.028,270.0,top
SW1_2,67.8,-13.73,90.0,top
SW1,27.8,-13.73,90.0,top
U1_2,12.22,-19.507578,0.0,top
U1,52.22,-19.507578,0.0,top
U2_2,17.0,-19.595078,180.0,top
U2,57.0,-19.595078,180.0,top
U3_2,26.475,-35.365,0.0,top
U3,66.475,-35.365,0.0,top
