Designator,Mid X,Mid Y,Rotation,Layer
C1,128.28,-93.784,0.0,top
C2,128.28,-95.588,0.0,top
C3,126.66,-97.94,180.0,top
C4,130.56,-97.94,0.0,top
C5,126.66,-103.250156,180.0,top
C6,130.56,-103.250156,0.0,top
C7,140.4675,-110.28,0.0,top
D1,136.74,-110.24,0.0,top
D2,144.195,-110.24,180.0,top
F1,128.28,-91.78,0.0,top
J1,132.03,-84.205,0.0,top
J3,117.3,-93.2,270.0,top
J5,119.13,-104.2,90.0,top
J9,139.161351,-129.6,0.0,top
R1,123.1,-91.98,0.0,top
R2,123.1,-93.784,0.0,top
R3,123.1,-95.588,180.0,top
R4,136.74,-108.14,180.0,top
R5,140.4675,-108.14,0.0,top
R6,144.195,-108.1,0.0,top
R7,132.9436,-125.5,90.0,top
R8,132.9436,-129.028,270.0,top
SW1,141.8,-94.73,90.0,top
U1,126.22,-100.507578,0.0,top
U2,131.0,-100.595078,180.0,top
U3,140.475,-116.365,0.0,top
